1,15655,1,16141
2,21364,13,17276
3,16838,14,15089
4,16886,23,17217
5,15859,27,15187
6,16633,36,15886
7,17892,49,18572
8,17155,78,15232
9,16316,63,15867
10,16097,63,15495
11,16267,73,15690
12,17440,89,16760
1,30990,1,28032,6142
2,29561,16,27182,6142
3,29648,29,33806,6142
4,29575,38,36341,6141
5,38390,65,42621,6141
6,35235,70,28092,6142
7,29309,78,28517,6141
8,29355,112,27607,6141
9,35953,131,37672,6142
10,31088,130,30737,6141
11,33136,160,37684,6141
12,31616,170,34082,6140
13,30113,158,29084,6141
14,31510,237,35404,6141
15,38577,264,29306,6140
16,33029,231,29869,6141
17,32231,255,30036,6141
18,29930,233,28596,6141
19,30858,274,27782,6141
20,30108,275,28657,6141
21,30220,279,27395,6141
22,29321,289,27434,6141
23,30782,330,26801,6141
24,32105,363,28520,6142
25,28768,319,39515,6142
26,28591,330,27403,6142
27,29775,387,27768,6141
28,28582,367,27416,6141
29,28841,446,27505,6141
30,29253,388,29094,6142
31,29451,437,34897,6141
32,29023,448,31198,6141
33,30242,473,30306,6141
34,38580,597,27785,6140
35,30194,510,35283,6141
36,31411,492,30310,6142
37,29797,470,27287,6141
38,34671,597,28341,6142
39,31474,623,39851,6141
40,34482,925,32726,6141
41,34291,612,27547,6142
42,35875,697,33033,6141
43,30913,607,60161,6141
44,29344,565,27250,6141
45,30913,623,29897,6142
46,32014,664,27426,6141
47,31277,628,27409,6142
48,30577,688,27160,6141
49,31590,769,38514,6141
50,33405,761,38226,6141
51,39311,960,47976,6142
52,60880,1501,52780,6142
53,38353,1195,29399,6142
54,35947,880,34295,6142
55,40205,1202,30714,6141
56,40198,1028,39044,6141
57,41319,1417,33053,6141
58,33874,893,41324,6141
59,38810,1014,30134,6141
60,34237,1267,28743,6141
61,32620,1066,27664,6142
62,30396,812,26944,6142
63,30966,902,27181,6140
64,29349,840,28794,6141
65,29781,883,27205,6141
66,31303,1040,30944,6142
67,30345,922,27794,6141
68,32814,1070,28983,6141
69,28228,904,27246,6141
70,29242,960,28437,6141
71,30083,955,27828,6141
72,31277,971,26767,6141
73,30445,1071,27425,6141
74,32401,1078,26839,6141
75,28589,1046,27593,6141
76,30226,1077,27217,6140
77,30801,1088,27332,6141
78,28807,1042,28265,6140
79,32480,1208,27642,6141
80,29643,1126,27536,6141
81,29880,1108,29523,6142
82,30234,1052,27159,6142
83,32778,1203,27258,6142
84,31538,1166,27832,6143
85,30060,1130,27261,6141
86,31323,1173,40779,6142
87,29144,1162,26989,6141
88,29087,1142,30080,6141
89,28892,1115,27668,6142
90,28788,1464,27197,6141
91,31107,1269,27638,6142
92,29565,1184,27930,6141
93,29286,1181,26956,6141
94,31502,1276,29964,6142
95,29086,1320,28883,6141
96,30269,1350,26748,6141
97,30267,1399,27152,6141
98,29582,1291,27031,6141
99,29411,1289,27904,6141
100,29702,1297,27383,6141
101,29427,1339,32634,6141
102,29950,1382,27588,6141
103,29372,1586,27552,6141
104,30165,1438,36760,6141
105,29176,1362,27720,6141
106,30732,1469,27570,6142
107,30363,1462,27493,6142
108,29644,1502,27537,6141
109,30463,1540,26960,6142
110,28954,1414,26908,6142
111,29208,1469,27587,6141
112,29741,1441,28236,6142
113,29779,1453,27522,6142
114,30335,1691,29198,6141
115,31036,1710,27922,6141
116,31756,1690,27099,6141
117,30494,1663,28853,6141
118,30690,1662,26731,6141
119,30166,1634,27010,6140
120,28911,1582,28446,6141
121,29716,1581,27276,6142
122,30171,1738,28120,6141
123,30108,1777,34928,6142
124,30773,1723,32059,6142
125,31018,1788,27354,6141
126,30495,1801,27073,6141
127,30781,1825,28955,6141
128,33403,2060,27534,6140
129,33702,2073,36933,6141
130,30260,1801,36759,6141
131,32072,1821,30319,6142
132,35189,2172,31051,6141
133,34611,2338,35266,6142
134,31048,1831,30166,6142
135,31444,1892,27994,6141
136,31708,2006,30638,6141
137,31708,1971,27700,6141
138,34625,2302,27760,6141
139,45262,3052,31229,6141
